Label,Value,Unit,Name,SearchTime
黄金价格,¥625 ,元/克,initial,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,initial,2024:01:08:06:39:58
金条金价(内地),¥615 ,元/克,initial,2024:01:08:06:39:58
饰品金价(内地),¥625 ,元/克,initial,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,initial,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,initial,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,initial,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,周大福,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,周大福,2024:01:08:06:39:58
金条金价(内地),¥615 ,元/克,周大福,2024:01:08:06:39:58
饰品金价(内地),¥625 ,元/克,周大福,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,周大福,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,周大福,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,周大福,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,老凤祥,2024:01:08:06:39:58
铂金价格,¥365 ,元/克,老凤祥,2024:01:08:06:39:58
足金价格,¥625 ,元/克,老凤祥,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,周六福,2024:01:08:06:39:58
铂金价格,¥406 ,元/克,周六福,2024:01:08:06:39:58
金条价格,¥566 ,元/克,周六福,2024:01:08:06:39:58
PT999铂金价格,¥406 ,元/克,周六福,2024:01:08:06:39:58
黄金价格,¥623 ,元/克,周生生,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,周生生,2024:01:08:06:39:58
金条金价(内地),¥613 ,元/克,周生生,2024:01:08:06:39:58
饰品金价(内地),¥623 ,元/克,周生生,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,周生生,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,周生生,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,周生生,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,六福珠宝,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,六福珠宝,2024:01:08:06:39:58
金条金价(内地),¥615 ,元/克,六福珠宝,2024:01:08:06:39:58
饰品金价(内地),¥625 ,元/克,六福珠宝,2024:01:08:06:39:58
黄金饰品(香港),"¥22,500 ",港币/两,六福珠宝,2024:01:08:06:39:58
铂金价格(香港),"¥11,470 ",港币/两,六福珠宝,2024:01:08:06:39:58
金条价格(香港),"¥20,520 ",港币/两,六福珠宝,2024:01:08:06:39:58
黄金价格,¥609 ,元/克,菜百,2024:01:08:06:39:58
铂金价格,¥358 ,元/克,菜百,2024:01:08:06:39:58
基础银价,¥5.50 ,元/克,菜百,2024:01:08:06:39:58
PT950铂金,¥358 ,元/克,菜百,2024:01:08:06:39:58
PT990铂金,¥362 ,元/克,菜百,2024:01:08:06:39:58
PT999铂金,¥368 ,元/克,菜百,2024:01:08:06:39:58
饰品金条价格,¥545 ,元/克,菜百,2024:01:08:06:39:58
摆件价格,¥392 ,元/克,菜百,2024:01:08:06:39:58
足金价格,¥609 ,元/克,菜百,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,金至尊,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,金至尊,2024:01:08:06:39:58
首饰,¥625 ,元,金至尊,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,老庙,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,老庙,2024:01:08:06:39:58
金条/金块价格,¥579 ,元/克,老庙,2024:01:08:06:39:58
足金价格,¥624 ,元/克,老庙,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,潮宏基,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,潮宏基,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,周大生,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,周大生,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,亚一金店,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,亚一金店,2024:01:08:06:39:58
黄金价格,¥612 ,元/克,宝庆银楼,2024:01:08:06:39:58
铂金价格,¥368 ,元/克,宝庆银楼,2024:01:08:06:39:58
黄金价格,¥549 ,元/克,太阳金店,2024:01:08:06:39:58
铂金价格,¥369 ,元/克,太阳金店,2024:01:08:06:39:58
黄金价格,¥556 ,元/克,齐鲁金店,2024:01:08:06:39:58
铂金价格,¥399 ,元/克,齐鲁金店,2024:01:08:06:39:58
中国黄金基础金价,¥482 ,元/克,中国黄金,2024:01:08:06:39:58
投资金条/储值金条/元宝金：零售价,¥496 ,元/克,中国黄金,2024:01:08:06:39:58
投资金条/储值金条/元宝金：回购价,¥480 ,元/克,中国黄金,2024:01:08:06:39:58
金条,¥493.30 ,元/克,高赛尔,2024:01:08:06:39:58
银条,¥5.69 ,元/克,高赛尔,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,千禧之星,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,千禧之星,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,吉盟珠宝,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,吉盟珠宝,2024:01:08:06:39:58
黄金价格,¥623 ,元/克,东祥金店,2024:01:08:06:39:58
铂金价格,¥390 ,元/克,东祥金店,2024:01:08:06:39:58
黄金价格,¥573 ,元/克,萃华金店,2024:01:08:06:39:58
铂金价格,¥359 ,元/克,萃华金店,2024:01:08:06:39:58
黄金价格,¥621 ,元/克,百泰黄金,2024:01:08:06:39:58
金条价格,¥505 ,元/克,百泰黄金,2024:01:08:06:39:58
黄金价格,¥613 ,元/克,金象珠宝,2024:01:08:06:39:58
黄金价格,¥605 ,元/克,常州金店,2024:01:08:06:39:58
铂金价格,¥368 ,元/克,常州金店,2024:01:08:06:39:58
黄金价格,¥550 ,元/克,扬州金店,2024:01:08:06:39:58
铂金价格,¥340 ,元/克,扬州金店,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,嘉华珠宝,2024:01:08:06:39:58
黄金价格,¥595 ,元/克,福泰珠宝,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,福泰珠宝,2024:01:08:06:39:58
黄金价格,¥614 ,元/克,城隍珠宝,2024:01:08:06:39:58
铂金价格,¥350 ,元/克,城隍珠宝,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,星光达珠宝,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,星光达珠宝,2024:01:08:06:39:58
黄金价格,¥624 ,元/克,金兰首饰,2024:01:08:06:39:58
铂金价格,¥360 ,元/克,金兰首饰,2024:01:08:06:39:58
投资金条,¥600 ,元/克,金银街,2024:01:08:06:39:58
工艺金条,¥615 ,元/克,金银街,2024:01:08:06:39:58
千足金首饰,¥605 ,元/克,金银街,2024:01:08:06:39:58
投资银条,¥5.39 ,元/克,金银街,2024:01:08:06:39:58
黄金回购,¥481 ,元/克,金银街,2024:01:08:06:39:58
白银回购,¥5.51 ,元/克,金银街,2024:01:08:06:39:58
千足金饰品,¥588 ,元/克,多边金都珠宝,2024:01:08:06:39:58
3D硬金,"¥1,122 ",元/克,多边金都珠宝,2024:01:08:06:39:58
精品挂件,¥592 ,元/克,多边金都珠宝,2024:01:08:06:39:58
铂金PT990,¥385 ,元/克,多边金都珠宝,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,富艺珠宝,2024:01:08:06:39:58
投资金条,¥565 ,元/克,富艺珠宝,2024:01:08:06:39:58
PT950铂金,¥390 ,元/克,富艺珠宝,2024:01:08:06:39:58
PT990铂金,¥406 ,元/克,富艺珠宝,2024:01:08:06:39:58
白银价格,¥5.31 ,元/克,天乙银饰,2024:01:08:06:39:58
白银基价,¥5.33 ,元/克,斯尔沃银器,2024:01:08:06:39:58
基准银价,¥5.90 ,元/克,中钞国鼎,2024:01:08:06:39:58
黄金价格,¥635 ,元/克,金巧福珠宝,2024:01:08:06:39:58
铂金价格,¥418 ,元/克,金巧福珠宝,2024:01:08:06:39:58
摆件价格,¥407 ,元/克,金巧福珠宝,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,莱音珠宝,2024:01:08:06:39:58
铂金价格,¥420 ,元/克,莱音珠宝,2024:01:08:06:39:58
金条价格,¥585 ,元/克,莱音珠宝,2024:01:08:06:39:58
9K金,¥181 ,元/克,K金,2024:01:08:06:39:58
14K金,¥282 ,元/克,K金,2024:01:08:06:39:58
18K金,¥361 ,元/克,K金,2024:01:08:06:39:58
24K金,¥481 ,元/克,K金,2024:01:08:06:39:58
黄金价格,¥625 ,元/克,九龙福珠宝,2024:01:08:06:39:58
铂金价格,¥420 ,元/克,九龙福珠宝,2024:01:08:06:39:58
摆件价格,¥405 ,元/克,九龙福珠宝,2024:01:08:06:39:58
黄金价格,¥623 ,元/克,initial,56:17.9
铂金价格,¥379 ,元/克,initial,56:17.9
金条金价(内地),¥613 ,元/克,initial,56:17.9
饰品金价(内地),¥623 ,元/克,initial,56:17.9
黄金饰品(香港),"¥22,330 ",港币/两,initial,56:17.9
铂金价格(香港),"¥11,110 ",港币/两,initial,56:17.9
金条价格(香港),"¥20,370 ",港币/两,initial,56:17.9
黄金价格,¥623 ,元/克,周大福,56:17.9
铂金价格,¥379 ,元/克,周大福,56:17.9
金条金价(内地),¥613 ,元/克,周大福,56:17.9
饰品金价(内地),¥623 ,元/克,周大福,56:17.9
黄金饰品(香港),"¥22,330 ",港币/两,周大福,56:17.9
铂金价格(香港),"¥11,110 ",港币/两,周大福,56:17.9
金条价格(香港),"¥20,370 ",港币/两,周大福,56:17.9
黄金价格,¥624 ,元/克,老凤祥,56:17.9
铂金价格,¥365 ,元/克,老凤祥,56:17.9
足金价格,¥624 ,元/克,老凤祥,56:17.9
黄金价格,¥623 ,元/克,周六福,56:17.9
铂金价格,¥395 ,元/克,周六福,56:17.9
金条价格,¥563 ,元/克,周六福,56:17.9
PT999铂金价格,¥395 ,元/克,周六福,56:17.9
黄金价格,¥623 ,元/克,周生生,56:17.9
铂金价格,¥379 ,元/克,周生生,56:17.9
金条金价(内地),¥613 ,元/克,周生生,56:17.9
饰品金价(内地),¥623 ,元/克,周生生,56:17.9
黄金饰品(香港),"¥22,330 ",港币/两,周生生,56:17.9
铂金价格(香港),"¥11,110 ",港币/两,周生生,56:17.9
金条价格(香港),"¥20,370 ",港币/两,周生生,56:17.9
黄金价格,¥623 ,元/克,六福珠宝,56:17.9
铂金价格,¥379 ,元/克,六福珠宝,56:17.9
金条金价(内地),¥613 ,元/克,六福珠宝,56:17.9
饰品金价(内地),¥623 ,元/克,六福珠宝,56:17.9
黄金饰品(香港),"¥22,330 ",港币/两,六福珠宝,56:17.9
铂金价格(香港),"¥11,110 ",港币/两,六福珠宝,56:17.9
金条价格(香港),"¥20,370 ",港币/两,六福珠宝,56:17.9
黄金价格,¥609 ,元/克,菜百,56:17.9
铂金价格,¥358 ,元/克,菜百,56:17.9
基础银价,¥5.50 ,元/克,菜百,56:17.9
PT950铂金,¥358 ,元/克,菜百,56:17.9
PT990铂金,¥362 ,元/克,菜百,56:17.9
PT999铂金,¥368 ,元/克,菜百,56:17.9
饰品金条价格,¥545 ,元/克,菜百,56:17.9
摆件价格,¥392 ,元/克,菜百,56:17.9
足金价格,¥609 ,元/克,菜百,56:17.9
黄金价格,¥623 ,元/克,金至尊,56:17.9
铂金价格,¥379 ,元/克,金至尊,56:17.9
首饰,¥623 ,元,金至尊,56:17.9
黄金价格,¥624 ,元/克,老庙,56:17.9
铂金价格,¥360 ,元/克,老庙,56:17.9
金条/金块价格,¥579 ,元/克,老庙,56:17.9
足金价格,¥624 ,元/克,老庙,56:17.9
黄金价格,¥623 ,元/克,潮宏基,56:17.9
铂金价格,¥379 ,元/克,潮宏基,56:17.9
黄金价格,¥623 ,元/克,周大生,56:17.9
铂金价格,¥379 ,元/克,周大生,56:17.9
黄金价格,¥624 ,元/克,亚一金店,56:17.9
铂金价格,¥360 ,元/克,亚一金店,56:17.9
黄金价格,¥612 ,元/克,宝庆银楼,56:17.9
铂金价格,¥368 ,元/克,宝庆银楼,56:17.9
黄金价格,¥549 ,元/克,太阳金店,56:17.9
铂金价格,¥369 ,元/克,太阳金店,56:17.9
黄金价格,¥556 ,元/克,齐鲁金店,56:17.9
铂金价格,¥399 ,元/克,齐鲁金店,56:17.9
中国黄金基础金价,¥480.50 ,元/克,中国黄金,56:17.9
投资金条/储值金条/元宝金：零售价,¥494.50 ,元/克,中国黄金,56:17.9
投资金条/储值金条/元宝金：回购价,¥478.50 ,元/克,中国黄金,56:17.9
金条,¥492.30 ,元/克,高赛尔,56:17.9
银条,¥5.69 ,元/克,高赛尔,56:17.9
黄金价格,¥624 ,元/克,千禧之星,56:17.9
铂金价格,¥360 ,元/克,千禧之星,56:17.9
黄金价格,¥623 ,元/克,吉盟珠宝,56:17.9
铂金价格,¥379 ,元/克,吉盟珠宝,56:17.9
黄金价格,¥623 ,元/克,东祥金店,56:17.9
铂金价格,¥379 ,元/克,东祥金店,56:17.9
黄金价格,¥573 ,元/克,萃华金店,56:17.9
铂金价格,¥359 ,元/克,萃华金店,56:17.9
黄金价格,¥619 ,元/克,百泰黄金,56:17.9
金条价格,¥505 ,元/克,百泰黄金,56:17.9
黄金价格,¥611 ,元/克,金象珠宝,56:17.9
黄金价格,¥605 ,元/克,常州金店,56:17.9
铂金价格,¥368 ,元/克,常州金店,56:17.9
黄金价格,¥550 ,元/克,扬州金店,56:17.9
铂金价格,¥340 ,元/克,扬州金店,56:17.9
黄金价格,¥623 ,元/克,嘉华珠宝,56:17.9
黄金价格,¥593 ,元/克,福泰珠宝,56:17.9
铂金价格,¥360 ,元/克,福泰珠宝,56:17.9
黄金价格,¥614 ,元/克,城隍珠宝,56:17.9
铂金价格,¥350 ,元/克,城隍珠宝,56:17.9
黄金价格,¥624 ,元/克,星光达珠宝,56:17.9
铂金价格,¥360 ,元/克,星光达珠宝,56:17.9
黄金价格,¥624 ,元/克,金兰首饰,56:17.9
铂金价格,¥360 ,元/克,金兰首饰,56:17.9
投资金条,¥598 ,元/克,金银街,56:17.9
工艺金条,¥613 ,元/克,金银街,56:17.9
千足金首饰,¥603 ,元/克,金银街,56:17.9
投资银条,¥5.39 ,元/克,金银街,56:17.9
黄金回购,¥479 ,元/克,金银街,56:17.9
白银回购,¥5.51 ,元/克,金银街,56:17.9
千足金饰品,¥588 ,元/克,多边金都珠宝,56:17.9
3D硬金,"¥1,122 ",元/克,多边金都珠宝,56:17.9
精品挂件,¥592 ,元/克,多边金都珠宝,56:17.9
铂金PT990,¥375 ,元/克,多边金都珠宝,56:17.9
黄金价格,¥623 ,元/克,富艺珠宝,56:17.9
投资金条,¥563 ,元/克,富艺珠宝,56:17.9
PT950铂金,¥379 ,元/克,富艺珠宝,56:17.9
PT990铂金,¥395 ,元/克,富艺珠宝,56:17.9
白银价格,¥5.31 ,元/克,天乙银饰,56:17.9
白银基价,¥5.30 ,元/克,斯尔沃银器,56:17.9
基准银价,¥5.88 ,元/克,中钞国鼎,56:17.9
黄金价格,¥635 ,元/克,金巧福珠宝,56:17.9
铂金价格,¥415 ,元/克,金巧福珠宝,56:17.9
摆件价格,¥407 ,元/克,金巧福珠宝,56:17.9
黄金价格,¥623 ,元/克,莱音珠宝,56:17.9
铂金价格,¥414 ,元/克,莱音珠宝,56:17.9
金条价格,¥583 ,元/克,莱音珠宝,56:17.9
9K金,¥180 ,元/克,K金,56:17.9
14K金,¥281 ,元/克,K金,56:17.9
18K金,¥360 ,元/克,K金,56:17.9
24K金,¥480 ,元/克,K金,56:17.9
黄金价格,¥623 ,元/克,九龙福珠宝,56:17.9
铂金价格,¥420 ,元/克,九龙福珠宝,56:17.9
摆件价格,¥405 ,元/克,九龙福珠宝,56:17.9
黄金价格,¥623 ,元/克,initial,2024:01:11:03:03:31
铂金价格,¥374 ,元/克,initial,2024:01:11:03:03:31
金条金价(内地),¥613 ,元/克,initial,2024:01:11:03:03:31
饰品金价(内地),¥623 ,元/克,initial,2024:01:11:03:03:31
黄金饰品(香港),"¥22,320 ",港币/两,initial,2024:01:11:03:03:31
铂金价格(香港),"¥10,960 ",港币/两,initial,2024:01:11:03:03:31
金条价格(香港),"¥20,360 ",港币/两,initial,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,周大福,2024:01:11:03:03:31
铂金价格,¥374 ,元/克,周大福,2024:01:11:03:03:31
金条金价(内地),¥613 ,元/克,周大福,2024:01:11:03:03:31
饰品金价(内地),¥623 ,元/克,周大福,2024:01:11:03:03:31
黄金饰品(香港),"¥22,320 ",港币/两,周大福,2024:01:11:03:03:31
铂金价格(香港),"¥10,960 ",港币/两,周大福,2024:01:11:03:03:31
金条价格(香港),"¥20,360 ",港币/两,周大福,2024:01:11:03:03:31
黄金价格,¥624 ,元/克,老凤祥,2024:01:11:03:03:31
铂金价格,¥365 ,元/克,老凤祥,2024:01:11:03:03:31
足金价格,¥624 ,元/克,老凤祥,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,周六福,2024:01:11:03:03:31
铂金价格,¥395 ,元/克,周六福,2024:01:11:03:03:31
金条价格,¥563 ,元/克,周六福,2024:01:11:03:03:31
PT999铂金价格,¥395 ,元/克,周六福,2024:01:11:03:03:31
黄金价格,¥622 ,元/克,周生生,2024:01:11:03:03:31
铂金价格,¥374 ,元/克,周生生,2024:01:11:03:03:31
金条金价(内地),¥613 ,元/克,周生生,2024:01:11:03:03:31
饰品金价(内地),¥622 ,元/克,周生生,2024:01:11:03:03:31
黄金饰品(香港),"¥22,320 ",港币/两,周生生,2024:01:11:03:03:31
铂金价格(香港),"¥10,960 ",港币/两,周生生,2024:01:11:03:03:31
金条价格(香港),"¥20,360 ",港币/两,周生生,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,六福珠宝,2024:01:11:03:03:31
铂金价格,¥374 ,元/克,六福珠宝,2024:01:11:03:03:31
金条金价(内地),¥613 ,元/克,六福珠宝,2024:01:11:03:03:31
饰品金价(内地),¥623 ,元/克,六福珠宝,2024:01:11:03:03:31
黄金饰品(香港),"¥22,320 ",港币/两,六福珠宝,2024:01:11:03:03:31
铂金价格(香港),"¥10,960 ",港币/两,六福珠宝,2024:01:11:03:03:31
金条价格(香港),"¥20,360 ",港币/两,六福珠宝,2024:01:11:03:03:31
黄金价格,¥609 ,元/克,菜百,2024:01:11:03:03:31
铂金价格,¥358 ,元/克,菜百,2024:01:11:03:03:31
基础银价,¥5.50 ,元/克,菜百,2024:01:11:03:03:31
PT950铂金,¥358 ,元/克,菜百,2024:01:11:03:03:31
PT990铂金,¥362 ,元/克,菜百,2024:01:11:03:03:31
PT999铂金,¥368 ,元/克,菜百,2024:01:11:03:03:31
饰品金条价格,¥545 ,元/克,菜百,2024:01:11:03:03:31
摆件价格,¥392 ,元/克,菜百,2024:01:11:03:03:31
足金价格,¥609 ,元/克,菜百,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,金至尊,2024:01:11:03:03:31
铂金价格,¥374 ,元/克,金至尊,2024:01:11:03:03:31
首饰,¥623 ,元,金至尊,2024:01:11:03:03:31
黄金价格,¥624 ,元/克,老庙,2024:01:11:03:03:31
铂金价格,¥360 ,元/克,老庙,2024:01:11:03:03:31
金条/金块价格,¥579 ,元/克,老庙,2024:01:11:03:03:31
足金价格,¥624 ,元/克,老庙,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,潮宏基,2024:01:11:03:03:31
铂金价格,¥379 ,元/克,潮宏基,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,周大生,2024:01:11:03:03:31
铂金价格,¥379 ,元/克,周大生,2024:01:11:03:03:31
黄金价格,¥624 ,元/克,亚一金店,2024:01:11:03:03:31
铂金价格,¥360 ,元/克,亚一金店,2024:01:11:03:03:31
黄金价格,¥612 ,元/克,宝庆银楼,2024:01:11:03:03:31
铂金价格,¥368 ,元/克,宝庆银楼,2024:01:11:03:03:31
黄金价格,¥549 ,元/克,太阳金店,2024:01:11:03:03:31
铂金价格,¥369 ,元/克,太阳金店,2024:01:11:03:03:31
黄金价格,¥556 ,元/克,齐鲁金店,2024:01:11:03:03:31
铂金价格,¥399 ,元/克,齐鲁金店,2024:01:11:03:03:31
中国黄金基础金价,¥480.50 ,元/克,中国黄金,2024:01:11:03:03:31
投资金条/储值金条/元宝金：零售价,¥494.50 ,元/克,中国黄金,2024:01:11:03:03:31
投资金条/储值金条/元宝金：回购价,¥478.50 ,元/克,中国黄金,2024:01:11:03:03:31
金条,¥492.30 ,元/克,高赛尔,2024:01:11:03:03:31
银条,¥5.69 ,元/克,高赛尔,2024:01:11:03:03:31
黄金价格,¥624 ,元/克,千禧之星,2024:01:11:03:03:31
铂金价格,¥360 ,元/克,千禧之星,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,吉盟珠宝,2024:01:11:03:03:31
铂金价格,¥379 ,元/克,吉盟珠宝,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,东祥金店,2024:01:11:03:03:31
铂金价格,¥379 ,元/克,东祥金店,2024:01:11:03:03:31
黄金价格,¥573 ,元/克,萃华金店,2024:01:11:03:03:31
铂金价格,¥359 ,元/克,萃华金店,2024:01:11:03:03:31
黄金价格,¥619 ,元/克,百泰黄金,2024:01:11:03:03:31
金条价格,¥505 ,元/克,百泰黄金,2024:01:11:03:03:31
黄金价格,¥611 ,元/克,金象珠宝,2024:01:11:03:03:31
黄金价格,¥605 ,元/克,常州金店,2024:01:11:03:03:31
铂金价格,¥368 ,元/克,常州金店,2024:01:11:03:03:31
黄金价格,¥550 ,元/克,扬州金店,2024:01:11:03:03:31
铂金价格,¥340 ,元/克,扬州金店,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,嘉华珠宝,2024:01:11:03:03:31
黄金价格,¥593 ,元/克,福泰珠宝,2024:01:11:03:03:31
铂金价格,¥360 ,元/克,福泰珠宝,2024:01:11:03:03:31
黄金价格,¥614 ,元/克,城隍珠宝,2024:01:11:03:03:31
铂金价格,¥350 ,元/克,城隍珠宝,2024:01:11:03:03:31
黄金价格,¥624 ,元/克,星光达珠宝,2024:01:11:03:03:31
铂金价格,¥360 ,元/克,星光达珠宝,2024:01:11:03:03:31
黄金价格,¥624 ,元/克,金兰首饰,2024:01:11:03:03:31
铂金价格,¥360 ,元/克,金兰首饰,2024:01:11:03:03:31
投资金条,¥598 ,元/克,金银街,2024:01:11:03:03:31
工艺金条,¥613 ,元/克,金银街,2024:01:11:03:03:31
千足金首饰,¥603 ,元/克,金银街,2024:01:11:03:03:31
投资银条,¥5.39 ,元/克,金银街,2024:01:11:03:03:31
黄金回购,¥479 ,元/克,金银街,2024:01:11:03:03:31
白银回购,¥5.51 ,元/克,金银街,2024:01:11:03:03:31
千足金饰品,¥588 ,元/克,多边金都珠宝,2024:01:11:03:03:31
3D硬金,"¥1,122 ",元/克,多边金都珠宝,2024:01:11:03:03:31
精品挂件,¥592 ,元/克,多边金都珠宝,2024:01:11:03:03:31
铂金PT990,¥375 ,元/克,多边金都珠宝,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,富艺珠宝,2024:01:11:03:03:31
投资金条,¥563 ,元/克,富艺珠宝,2024:01:11:03:03:31
PT950铂金,¥379 ,元/克,富艺珠宝,2024:01:11:03:03:31
PT990铂金,¥395 ,元/克,富艺珠宝,2024:01:11:03:03:31
白银价格,¥5.30 ,元/克,天乙银饰,2024:01:11:03:03:31
白银基价,¥5.28 ,元/克,斯尔沃银器,2024:01:11:03:03:31
基准银价,¥5.90 ,元/克,中钞国鼎,2024:01:11:03:03:31
黄金价格,¥635 ,元/克,金巧福珠宝,2024:01:11:03:03:31
铂金价格,¥415 ,元/克,金巧福珠宝,2024:01:11:03:03:31
摆件价格,¥407 ,元/克,金巧福珠宝,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,莱音珠宝,2024:01:11:03:03:31
铂金价格,¥410 ,元/克,莱音珠宝,2024:01:11:03:03:31
金条价格,¥583 ,元/克,莱音珠宝,2024:01:11:03:03:31
9K金,¥179 ,元/克,K金,2024:01:11:03:03:31
14K金,¥280 ,元/克,K金,2024:01:11:03:03:31
18K金,¥359 ,元/克,K金,2024:01:11:03:03:31
24K金,¥479 ,元/克,K金,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,九龙福珠宝,2024:01:11:03:03:31
铂金价格,¥420 ,元/克,九龙福珠宝,2024:01:11:03:03:31
摆件价格,¥405 ,元/克,九龙福珠宝,2024:01:11:03:03:31
黄金价格,¥623 ,元/克,initial,2024:01:11:03:20:19
铂金价格,¥374 ,元/克,initial,2024:01:11:03:20:19
金条金价(内地),¥613 ,元/克,initial,2024:01:11:03:20:19
饰品金价(内地),¥623 ,元/克,initial,2024:01:11:03:20:19
黄金饰品(香港),"¥22,320 ",港币/两,initial,2024:01:11:03:20:19
铂金价格(香港),"¥10,960 ",港币/两,initial,2024:01:11:03:20:19
金条价格(香港),"¥20,360 ",港币/两,initial,2024:01:11:03:20:19
黄金价格,¥623 ,元/克,周大福,2024:01:11:03:20:19
铂金价格,¥374 ,元/克,周大福,2024:01:11:03:20:19
金条金价(内地),¥613 ,元/克,周大福,2024:01:11:03:20:19
饰品金价(内地),¥623 ,元/克,周大福,2024:01:11:03:20:19
黄金饰品(香港),"¥22,320 ",港币/两,周大福,2024:01:11:03:20:19
铂金价格(香港),"¥10,960 ",港币/两,周大福,2024:01:11:03:20:19
金条价格(香港),"¥20,360 ",港币/两,周大福,2024:01:11:03:20:19
黄金价格,¥624 ,元/克,老凤祥,2024:01:11:03:20:19
